column_name,description
timestamp,Hourly arrival timestamp aligned with Model A dataset.
period_label,"past, present, or future relative to 2026-06-20 11:00:00."
workload_group_id,Unique ID for a workload group/job request.
source_application,Application or service that generated the workload.
workload_type,"real_time, batch, or background."
workload_quantity,Number of similar tasks represented by this workload group.
priority_level,"1=lowest priority, 5=highest priority."
estimated_cpu_units,Estimated CPU demand for this workload group.
estimated_ram_units,Estimated RAM demand for this workload group.
estimated_storage_io_units,Estimated storage I/O demand for this workload group.
estimated_network_units,Estimated network demand for this workload group.
estimated_duration_minutes,Expected processing duration.
latency_requirement_ms,Latency target for real-time workloads; blank for non-latency-sensitive workloads.
sla_deadline_minutes,Time limit before SLA violation.
deadline_time,Timestamp by which the workload should be completed.
can_be_delayed,1 if the workload may be shifted to a later/off-peak period.
max_delay_hours,Maximum delay allowed before the workload should start.
latest_start_time,Latest allowed start time for delayable workload groups.
preferred_run_period,"immediate, night, off_peak_or_weekend, or spare_capacity."
preemptible,1 if the workload can be paused/interrupted.
migration_allowed,1 if workload can be moved between floors/racks.
requires_low_latency_zone,1 if workload should use real-time zone.
requires_high_io_rack,1 if workload benefits from high storage I/O rack.
requires_gpu,1 if workload requires GPU-like resources.
data_sensitivity_level,"Synthetic sensitivity label: low, medium, high."
is_daytime,1 during daytime high tariff period.
is_nighttime,1 during nighttime low tariff period.
is_weekend,1 for Saturday or Sunday.
is_public_holiday,Synthetic public holiday flag.
